Station,LATITUDE (Dez),LONGITUDE (Dez),Species,Size,d13C,d18O,WD,T (∞C),d18O(SMOW),Cruise,Device,dc-dw,Source (water),Reference
13-57,8.36 ,75.97 ,G. sacc.,150-250,0.82,-2.50 ,0-300,28.9 ,0.35 ,Osiris III-MD 13,Tow,-2.58 ,estimated,Duplessy et al. 1981
13-57,8.36 ,75.97 ,G. sacc.,>250,1.53,-3.04 ,0-300,28.9 ,0.35 ,Osiris III-MD 13,Tow,-3.12 ,estimated,Duplessy et al. 1981
13-57,8.36 ,75.97 ,G. sacc.,>250,1.16,-2.92 ,0-300,28.9 ,0.35 ,Osiris III-MD 13,Tow,-3.00 ,estimated,Duplessy et al. 1981
13-64,13.97 ,71.89 ,G. sacc.,150-250,0.11,-3.03 ,0-300,30.6 ,0.57 ,Osiris III-MD 13,Tow,-3.33 ,estimated,Duplessy et al. 1981
13-65,16.54 ,67.89 ,G. sacc.,>250,1.07,-3.40 ,0-40,31.1 ,0.70 ,Osiris III-MD 13,Tow,-3.83 ,estimated,Duplessy et al. 1981
13-67,19.22 ,60.68 ,G. sacc.,>250,1.5,-3.02 ,0-40,29.8 ,0.77 ,Osiris III-MD 13,Tow,-3.52 ,estimated,Duplessy et al. 1981
13-68,12.70 ,59.57 ,G. sacc.,>250,1.67,-2.60 ,0-300,26.5 ,0.62 ,Osiris III-MD 13,Tow,-2.95 ,estimated,Duplessy et al. 1981
13-69,19.30 ,58.43 ,G. sacc.,>250,1.23,-2.60 ,0-300,28.0 ,0.62 ,Osiris III-MD 13,Tow,-2.95 ,estimated,Duplessy et al. 1981
V7,20.46 ,-18.30 ,G. sacc.,200-400,1.44,-1.20 ,0-4,21.0 ,0.81 ,Val/10/1979,Pump,-1.74 ,estimated,Ganssen 1983
15666-8,34.96 ,-7.12 ,G. sacc.,315-400,0.73,-0.01 ,0-40,16.2 ,0.83 ,M53,Tow,-0.57 ,estimated,Ganssen 1983
