Station,LATITUDE (Dez),LONGITUDE (Dez),Species,Size,d13C,d18O,WD,T (∞C),d18O(SMOW),Cruise,Device,dc-dw,Source (water),Reference
313-4-5,15.88 ,53.01 ,G. ruber (w),250-355,0.61 ,-1.91 ,0-8,25.5 ,0.37 ,RV Tyro C,Tow,-2.01 ,estimated,Peeters et al. 2002
917-2-5,15.72 ,53.01 ,G. ruber (w),150-250,-0.25 ,-2.30 ,0-12,25.8 ,0.43 ,RV Tyro C,Tow,-2.46 ,estimated,Peeters et al. 2002
920-2-5,16.07 ,52.70 ,G. ruber (w),150-250,0.02 ,-2.36 ,0-11,25.5 ,0.41 ,RV Tyro C,Tow,-2.50 ,estimated,Peeters et al. 2002
15658-2,34.89 ,-6.70 ,G. ruber (w),200-315,-0.04 ,-0.04 ,0-40,16.1 ,0.83 ,M53,Tow,-0.60 ,estimated,Peeters et al. 2002
15666-8,34.96 ,-7.12 ,G. ruber (w),200-315,0.03 ,-0.27 ,0-40,16.2 ,0.83 ,M53,Tow,-0.83 ,estimated,Peeters et al. 2002
15666-8,34.96 ,-7.12 ,G. ruber (w),315-400,0.41 ,-0.15 ,0-40,16.2 ,0.83 ,M53,Tow,-0.71 ,estimated,Peeters et al. 2002
V7,20.46 ,-18.30 ,G. ruber (w),200-400,0.81 ,-1.05 ,0-4,21.0 ,0.81 ,Val/10/1979,Pump,-1.59 ,estimated,Ganssen 1983
V10,26.25 ,-15.72 ,G. ruber (w),315-400,1.07 ,-1.31 ,0-4,22.0 ,0.87 ,Val/10/1979,Pump,-1.91 ,estimated,Ganssen 1983
V15,30.77 ,-11.05 ,G. ruber (w),200-315,0.26 ,-0.87 ,0-4,19.0 ,0.85 ,Val/10/1979,Pump,-1.45 ,estimated,Ganssen 1983
V15,30.77 ,-11.05 ,G. ruber (w),315-400,0.98 ,-0.60 ,0-4,19.0 ,0.85 ,Val/10/1979,Pump,-1.18 ,estimated,Ganssen 1983
V16,32.19 ,-10.04 ,G. ruber (w),200-400,0.93 ,-0.81 ,0-4,20.0 ,0.85 ,Val/10/1979,Pump,-1.39 ,estimated,Ganssen 1983
M53/5,27.01 ,-15.08 ,G. ruber (w),200-315,0.14 ,-0.59 ,0-4,18.3 ,0.87 ,M53,Pump,-1.19 ,estimated,Ganssen 1983
M53/6,27.01 ,-15.49 ,G. ruber (w),315-400,0.93 ,-0.16 ,0-4,19.1 ,0.88 ,M53,Pump,-0.77 ,estimated,Ganssen 1983
M53/7,27.00 ,-19.00 ,G. ruber (w),200-315,0.11 ,-0.57 ,0-4,19.7 ,0.89 ,M53,Pump,-1.19 ,estimated,Ganssen 1983
M53/8,29.21 ,-18.46 ,G. ruber (w),315-400,0.64 ,-0.26 ,0-4,18.4 ,0.89 ,M53,Pump,-0.88 ,estimated,Ganssen 1983
M53/9,30.13 ,-16.44 ,G. ruber (w),315-400,0.51 ,-0.13 ,0-4,18.1 ,0.88 ,M53,Pump,-0.74 ,estimated,Ganssen 1983
M53/10,30.56 ,-15.25 ,G. ruber (w),315-400,0.41 ,-0.19 ,0-4,18.0 ,0.87 ,M53,Pump,-0.79 ,estimated,Ganssen 1983
M53/20,34.92 ,-7.50 ,G. ruber (w),200-400,0.70 ,0.34 ,0-4,16.6 ,0.85 ,M53,Pump,-0.24 ,estimated,Ganssen 1983
