Age,d18Oc
1.096,4.317
1.098,4.422
1.1,4.503
1.102,4.478
1.104,4.39
1.106,4.28
1.108,4.219
1.11,4.173
1.112,4.117
1.114,4.082
1.116,4.095
1.118,4.161
1.12,4.352
1.122,4.548
1.124,4.649
1.126,4.695
1.128,4.635
1.13,4.554
1.132,4.556
1.134,4.551
1.136,4.494
1.138,4.386
1.14,4.277
1.142,4.247
1.144,4.238
1.146,4.235
1.148,4.222
1.15,4.168
1.152,4.098
1.154,4.011
1.156,3.923
1.158,3.857
1.16,3.809
1.162,3.78
1.164,3.763
1.166,3.764
1.168,3.782
1.17,3.823
1.172,3.866
1.174,3.888
1.176,3.901
1.178,3.877
1.18,3.86
1.182,3.875
1.184,3.942
1.186,4.132
1.188,4.353
1.19,4.576
1.192,4.762
1.194,4.806
1.196,4.801
1.198,4.786
1.2,4.747
1.202,4.698
1.204,4.639
1.206,4.557
1.208,4.391
1.21,4.216
1.212,4.095
1.214,4.016
1.216,4.044
1.218,4.086
1.22,4.052
1.222,3.997
1.224,3.953
1.226,3.908
1.228,3.856
1.23,3.797
1.232,3.699
1.234,3.612
1.236,3.597
1.238,3.623
1.24,3.67
1.242,3.775
1.244,4.015
1.246,4.281
1.248,4.527
1.25,4.733
1.252,4.806
1.254,4.796
1.256,4.696
1.258,4.557
1.26,4.394
1.262,4.244
1.264,4.199
1.266,4.184
1.268,4.166
1.27,4.143
1.272,4.113
1.274,4.049
1.276,3.978
1.278,3.898
1.28,3.845
1.282,3.882
1.284,3.953
1.286,4.057
1.288,4.167
1.29,4.246
1.292,4.305
1.294,4.327
1.296,4.322
1.298,4.274
1.3,4.227
1.302,4.238
1.304,4.246
1.306,4.21
1.308,4.154
1.31,4.057
1.312,3.97
1.314,3.946
1.316,3.963
1.318,4.041
1.32,4.141
1.322,4.241
1.324,4.34
1.326,4.416
1.328,4.458
1.33,4.442
1.332,4.399
1.334,4.316
1.336,4.252
1.338,4.19
1.34,4.115
1.342,4.048
1.344,4.017
1.346,3.99
1.348,3.977
1.35,3.945
1.352,3.816
1.354,3.667
1.356,3.526
1.358,3.429
1.36,3.47
1.362,3.576
1.364,3.726
1.366,3.879
1.368,3.972
1.37,4.064
1.372,4.148
1.374,4.228
1.376,4.302
1.378,4.385
1.38,4.444
1.382,4.457
1.384,4.423
1.386,4.294
1.388,4.134
1.39,3.973
1.392,3.837
1.394,3.813
1.396,3.816
1.398,3.77
