Age,Temperature,Sea level,,Trend Age,Trend Temperature,Trend Sea level,Trend Temperature (long),Trend Sea level (long)
2.905,1.14,-6.00,,,,,,
2.908,1.21,-3.33,,,,,,
2.910,1.22,-2.67,,,,,,
2.913,1.17,-4.67,,,,,,
2.915,0.87,-17.33,,,,,,
2.917,1.00,-12.00,,,,,,
2.920,0.84,-18.67,,,,,,
2.922,0.86,-18.00,,,,,,
2.925,0.86,-18.00,,,,,,
2.928,1.13,-6.67,,,,,,
2.930,0.97,-13.33,,,,,,
2.933,0.84,-18.67,,,,,,
2.935,1.16,-5.33,,,,,,
2.938,1.37,3.33,,,,,,
2.940,1.51,9.33,,,,,,
2.942,1.73,18.67,,,,,,
2.945,1.73,18.67,,,,,,
2.947,1.56,11.33,,,,,,
2.950,1.76,20.00,,,,,,
2.953,1.78,20.67,,,,,,
2.955,1.40,4.67,,,,,,
2.958,1.29,0.00,,,,,,
2.960,1.52,10.00,,,,,,
2.962,1.37,3.33,,,,,,
2.965,1.40,4.67,,,,,,
2.967,1.10,-8.00,,,,,,
2.970,1.17,-4.67,,,,,,
2.973,1.13,-6.67,,,,,,
2.975,0.89,-16.67,,,,,,
2.978,0.97,-13.33,,,,,,
2.980,0.94,-14.67,,,,,,
2.982,1.24,-2.00,,,,,,
2.985,1.54,10.67,,,,,,
2.987,1.41,5.33,,,,,,
2.990,1.37,3.33,,,,,,
2.993,1.32,1.33,,,,,,
2.995,1.33,2.00,,,,,,
2.998,1.30,0.67,,,,,,
3.000,1.08,-8.67,,,,,,
3.005,0.95,-14.00,,,,,,
3.010,0.92,-15.33,,,,,,
3.015,0.83,-19.33,,,,,,
3.020,0.87,-17.33,,,,,,
3.025,1.14,-6.00,,,,,,
3.030,1.44,6.67,,,,,,
3.035,1.51,9.33,,,,,,
3.040,1.29,0.00,,,,,,
3.045,1.16,-5.33,,,,,,
3.050,1.13,-6.67,,,,,,
3.055,1.43,6.00,,,,,,
3.060,1.73,18.67,,,,,,
3.065,1.57,12.00,,,,,,
3.070,1.51,9.33,,,,,,
3.075,1.49,8.67,,,,,,
3.080,1.51,9.33,,,,,,
3.085,1.75,19.33,,,,,,
3.090,1.37,3.33,,,,,,
3.095,1.37,3.33,,,,,,
3.100,1.52,10.00,,,,,,
3.105,1.56,11.26,,,,,,
3.110,1.45,6.52,,,,,,
3.115,1.31,0.44,,,,,,
3.120,1.25,-2.30,,,,,,
3.125,1.13,-7.70,,,,,,
3.130,1.07,-10.44,,,,,,
3.135,0.96,-15.19,,,,,,
3.140,1.08,-10.59,,,,,,
3.145,1.13,-8.67,,,,,,
3.150,1.43,3.93,,,,,,
3.155,1.77,17.85,,,,,,
3.160,1.68,13.78,,,,,,
3.165,1.63,11.70,,,,,,
3.170,1.48,4.96,,,,,,
3.175,1.40,1.56,,,,,,
3.180,1.45,3.48,,,,,,
3.185,1.58,8.74,,,,,,
3.190,1.79,17.33,,,,,,
3.195,1.57,7.93,,,,,,
3.200,1.69,12.52,,,,,,
3.205,1.72,13.78,,,,,,
3.210,1.70,12.37,,,,,,
3.215,1.41,0.30,,,,,,
3.220,1.53,4.89,,,,,,
3.225,1.41,-0.52,,,,,,
3.230,1.54,4.74,,,,,,
3.235,1.37,-2.67,,,,,,
3.240,1.69,10.59,,,,,,
3.245,1.69,10.52,,,,,,
3.250,1.71,11.11,,,,,,
3.255,1.49,1.70,,,,,,
3.260,1.51,2.30,,,,,,
3.265,1.26,-8.44,,,,,,
3.270,1.34,-5.19,,,,,,
3.275,1.25,-9.26,,,,,,
3.280,1.37,-4.67,,,,,,
3.285,1.15,-14.07,,,,,,
3.290,0.75,-30.81,,,,,,
3.295,0.61,-36.89,,,,,,
3.300,0.66,-34.96,,,,,,
3.305,1.13,-15.70,,,,,,
3.310,1.21,-12.44,,,,,,
3.315,1.45,-2.52,,,,,,
3.320,1.65,5.41,,,,,,
3.325,1.49,-1.33,,,,,,
3.330,1.48,-2.07,,,,,,
3.335,1.42,-4.81,,,,,,
3.340,1.17,-15.56,,,,,,
3.345,1.33,-8.96,,,,,,
3.350,1.54,-0.37,,,,,,
3.355,1.48,-3.11,,,,,,
3.360,1.56,0.15,,,,,,
3.365,1.66,4.07,,,,,,
3.370,1.60,1.33,,,,,,
3.375,1.29,-12.07,,,,,,
3.380,1.29,-12.15,,,,,,
3.385,1.46,-5.56,,,,,,
3.390,1.60,0.37,,,,,,
3.395,1.73,5.63,,,,,,
3.400,1.66,2.22,,,,,,
3.405,1.64,1.48,,,,,,
3.410,1.74,5.41,,,,,,
3.415,1.89,11.33,,,,,,
3.420,1.72,3.93,,,,,,
3.425,1.56,-2.81,,,,,,
3.430,1.71,3.11,,,,,,
3.435,2.05,17.04,,,,,,
3.440,2.05,16.96,,,,,,
3.445,1.83,7.56,,,,,,
3.450,1.71,2.15,,,,,,
3.455,1.85,8.07,,,,,,
3.460,1.79,5.33,,,,,,
3.465,1.54,-5.41,,,,,,
3.470,1.77,3.85,,,,,,
3.475,2.04,15.11,,,,,,
3.480,2.09,17.04,,,,,,
3.485,1.92,9.63,,,,,,
3.490,1.96,10.89,,,,,,
3.495,1.83,5.48,,,,,,
3.500,2.04,14.07,,,,,,
3.505,2.02,12.67,,,,,,
3.510,1.99,11.26,,,,,,
3.515,1.88,6.52,,,,,,
3.520,1.77,1.78,,,,,,
3.525,1.66,-2.96,,,,,,
3.530,1.73,-0.37,,,,,,
3.535,1.94,8.22,,,,,,
3.540,2.09,14.15,,,,,,
3.545,1.95,8.07,,,,,,
3.550,1.79,1.33,,,,,,
3.555,1.78,0.59,,,,,,
3.560,1.75,-0.81,,,,,,
3.565,1.90,5.11,,,,,,
3.570,2.16,15.70,,,,,,
3.575,2.08,12.30,,,,,,
3.580,1.70,-3.78,,,,,,
3.585,1.74,-2.52,,,,,,
3.590,1.76,-1.93,,,,,,
3.595,2.02,8.67,,,,,,
3.600,2.00,7.93,,,,,,
3.605,1.86,1.85,,,,,,
3.610,2.12,12.44,,,,,,
3.615,1.95,5.04,,,,,,
3.620,1.70,-5.70,,,,,,
3.625,1.50,-14.44,,,,,,
3.630,1.37,-19.85,,,,,,
3.635,1.57,-11.93,,,,,,
3.640,1.95,4.00,,,,,,
3.645,2.07,8.59,,,,,,
3.650,2.10,9.85,,,,,,
3.655,1.82,-2.22,,,,,,
3.660,1.76,-4.96,,,,,,
3.665,1.41,-19.70,,,,,,
3.670,1.34,-23.11,,,,,,
3.675,1.72,-7.19,,,,,,
3.680,1.98,3.41,,,,,,
3.685,2.10,8.00,,,,,,
3.690,2.19,11.93,,,,,,
3.695,2.04,5.19,,,,,,
3.700,1.99,3.11,,,,,,
3.705,1.92,-0.30,,,,,,
3.710,1.64,-12.37,,,,,,
3.715,1.62,-13.11,,,,,,
3.720,2.14,8.15,,,,,,
3.725,2.36,17.41,,,,,,
3.730,2.10,6.00,,,,,,
3.735,2.21,10.59,,,,,,
3.740,2.17,8.52,,,,,,
3.745,1.79,-7.56,,,,,,
3.750,1.98,0.37,,,,,,
3.755,2.14,6.96,,,,,,
3.760,2.23,10.22,,,,,,
3.765,2.29,12.81,,,,,,
3.770,1.98,-0.59,,,,,,
3.775,2.00,0.00,,,,,,
3.780,2.05,1.93,,,,,,
3.785,2.18,7.19,,,,,,
3.790,2.04,1.11,,,,,,
3.795,1.81,-8.96,,,,,,
3.800,2.14,4.96,,,,,,
3.805,1.99,-1.78,,,,,,
3.810,2.07,1.48,,,,,,
3.815,2.16,4.74,,,,,,
3.820,2.17,5.33,,,,,,
3.825,1.81,-10.07,,,,,,
3.830,1.75,-12.81,,,,,,
3.835,2.09,1.11,,,,,,
3.840,2.40,13.70,,,,,,
3.845,2.37,12.30,,,,,,
3.850,2.34,10.89,,,,,,
3.855,2.36,11.48,,,,,,
3.860,2.36,11.41,,,,,,
3.865,1.92,-7.33,,,,,,
3.870,1.94,-6.74,,,,,,
3.875,1.80,-12.81,,,,,,
3.880,2.19,3.11,,,,,,
3.885,2.28,7.04,,,,,,
3.890,2.38,10.96,,,,,,
3.895,2.12,-0.44,,,,,,
3.900,2.34,8.81,,,,,,
3.905,2.35,8.74,,,,,,
3.910,2.43,12.00,,,,,,
3.915,2.11,-1.41,,,,,,
3.920,2.10,-2.15,,,,,,
3.925,2.38,9.11,,,,,,
3.930,2.41,10.37,,,,,,
3.935,2.51,14.30,,,,,,
3.940,2.29,4.89,,,,,,
3.945,2.18,0.15,,,,,,
3.950,2.22,1.41,,,,,,
3.955,2.41,9.33,,,,,,
3.960,2.43,9.93,,,,,,
3.965,2.36,6.52,,,,,,
3.970,2.25,1.78,,,,,,
3.975,2.25,1.70,,,,,,
3.980,2.18,-1.70,,,,,,
3.985,2.18,-1.78,,,,,,
3.990,1.90,-13.85,,,,,,
3.995,1.81,-17.93,,,,,,
4.000,1.92,-13.33,,,,,,
4.005,2.04,-8.74,,,,,,
4.010,2.36,4.52,,,,,,
4.015,2.38,5.11,,,,,,
4.020,2.19,-2.96,,,,,,
4.025,2.27,0.30,,,,,,
4.030,2.12,-6.44,,,,,,
4.035,2.04,-9.85,,,,,,
4.040,2.00,-11.93,,,,,,
4.045,2.06,-9.33,,,,,,
4.050,2.23,-2.74,,,,,,
