Age,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
23.4,7.15,8.55,5.35,-0.359,-0.103,-0.602,7.13,8.37,5.39,-0.313,-0.104,-0.562
23.5,7.13,8.55,5.34,-0.406,-0.123,-0.635,7.11,8.36,5.38,-0.318,-0.109,-0.565
23.6,7.05,8.48,5.27,-0.442,-0.157,-0.664,7.10,8.35,5.37,-0.322,-0.113,-0.567
23.7,6.96,8.38,5.18,-0.464,-0.188,-0.682,7.10,8.34,5.37,-0.325,-0.117,-0.568
23.8,6.93,8.31,5.16,-0.466,-0.206,-0.673,7.10,8.32,5.37,-0.327,-0.119,-0.567
23.9,6.97,8.27,5.24,-0.449,-0.210,-0.648,7.10,8.31,5.37,-0.327,-0.121,-0.565
24.0,7.03,8.19,5.32,-0.416,-0.207,-0.617,7.10,8.29,5.38,-0.324,-0.119,-0.560
24.1,7.08,8.14,5.41,-0.377,-0.196,-0.577,7.11,8.28,5.39,-0.318,-0.116,-0.552
24.2,7.10,8.10,5.45,-0.337,-0.172,-0.553,7.12,8.27,5.40,-0.308,-0.108,-0.541
24.3,7.12,8.10,5.44,-0.298,-0.142,-0.533,7.13,8.26,5.41,-0.294,-0.098,-0.527
