Age,SLice,SLice max,SLice min,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),Temperature (long),Temperature max (long),Temperature min (long)
32.1,6.94,20.73,1.01,6.15,7.22,4.62,14.20,29.66,2.98,5.87,6.96,4.36
32.2,7.34,18.43,1.37,6.12,7.19,4.58,14.67,30.10,3.04,5.87,6.96,4.36
32.3,9.33,18.26,2.77,6.06,7.14,4.52,15.23,30.59,3.17,5.87,6.97,4.35
32.4,12.98,21.20,5.24,5.94,7.02,4.40,15.88,31.17,3.38,5.87,6.97,4.35
32.5,17.68,27.60,8.23,5.77,6.86,4.23,16.64,31.85,3.70,5.88,6.97,4.34
32.6,21.54,35.66,10.40,5.65,6.74,4.10,17.50,32.65,4.14,5.88,6.97,4.33
32.7,22.33,42.56,10.23,5.67,6.76,4.11,18.46,33.57,4.71,5.89,6.98,4.33
32.8,19.00,45.58,7.03,5.85,6.95,4.29,19.50,34.62,5.42,5.90,6.98,4.33
32.9,12.75,42.72,1.80,6.13,7.23,4.56,20.61,35.80,6.25,5.91,6.99,4.33
33.0,6.74,36.10,-2.95,6.33,7.43,4.76,21.79,37.08,7.19,5.93,7.00,4.33
33.1,3.76,28.98,-5.17,6.32,7.43,4.75,23.01,38.45,8.22,5.95,7.02,4.34
33.2,4.77,24.04,-4.22,6.08,7.19,4.50,24.27,39.89,9.32,5.97,7.04,4.35
33.3,8.78,23.15,-1.14,5.71,6.82,4.12,25.57,41.37,10.46,6.01,7.07,4.37
33.4,13.63,25.44,1.91,5.39,6.50,3.79,26.88,42.87,11.64,6.04,7.10,4.40
33.5,17.83,29.69,3.54,5.25,6.36,3.65,28.21,44.36,12.83,6.08,7.15,4.43
33.6,21.42,34.97,3.93,5.31,6.43,3.71,29.54,45.84,14.03,6.13,7.19,4.47
33.7,25.56,40.38,4.57,5.48,6.60,3.88,30.87,47.30,15.21,6.17,7.25,4.52
33.8,31.49,45.45,7.38,5.62,6.75,4.01,32.17,48.71,16.39,6.23,7.31,4.57
33.9,39.28,49.76,13.04,5.73,6.86,4.11,33.45,50.08,17.56,6.28,7.37,4.63
34.0,47.38,54.39,20.32,5.87,7.00,4.25,34.70,51.38,18.71,6.34,7.44,4.68
34.1,53.69,60.80,27.13,6.08,7.21,4.45,35.91,52.63,19.84,6.39,7.50,4.74
34.2,57.18,68.10,32.06,6.34,7.48,4.71,37.07,53.81,20.96,6.45,7.57,4.80
34.3,58.10,74.48,34.98,6.58,7.72,4.94,38.17,54.93,22.06,6.51,7.64,4.87
34.4,57.27,78.37,36.42,6.72,7.86,5.08,39.21,56.00,23.13,6.57,7.71,4.93
34.5,55.36,78.25,36.92,6.74,7.89,5.10,40.18,57.03,24.14,6.64,7.78,4.99
34.6,52.54,75.42,36.65,6.72,7.88,5.08,41.08,58.02,25.09,6.70,7.86,5.06
34.7,49.15,71.85,35.67,6.81,7.97,5.16,41.91,59.00,25.94,6.77,7.93,5.12
34.8,46.24,67.40,34.53,7.10,8.26,5.44,42.66,59.95,26.67,6.84,8.01,5.20
34.9,44.83,63.13,33.87,7.36,8.53,5.70,43.34,60.87,27.26,6.91,8.09,5.27
35.0,45.19,59.85,33.76,7.63,8.80,5.97,43.94,61.73,27.72,6.98,8.18,5.34
35.1,46.81,57.85,34.00,7.80,8.97,6.13,44.46,62.52,28.04,7.06,8.26,5.42
35.2,48.74,57.93,34.11,7.81,8.98,6.13,44.88,63.21,28.26,7.12,8.34,5.49
35.3,50.25,59.52,33.74,7.67,8.84,5.99,45.22,63.81,28.39,7.19,8.41,5.55
35.4,50.93,61.74,32.91,7.46,8.64,5.77,45.46,64.30,28.47,7.24,8.47,5.61
35.5,50.43,64.18,31.71,7.28,8.47,5.59,45.62,64.69,28.51,7.28,8.52,5.65
35.6,48.69,66.20,30.41,7.21,8.40,5.52,45.71,65.00,28.53,7.31,8.56,5.68
35.7,46.14,66.67,29.53,7.23,8.42,5.53,45.72,65.24,28.53,7.34,8.59,5.70
35.8,43.62,64.58,29.31,7.21,8.40,5.51,45.67,65.42,28.51,7.35,8.60,5.71
35.9,41.82,60.69,29.48,7.21,8.41,5.50,45.56,65.57,28.48,7.36,8.61,5.70
36.0,40.60,56.52,29.18,7.25,8.45,5.53,45.40,65.70,28.42,7.35,8.60,5.69
36.1,39.26,53.83,27.55,7.39,8.59,5.67,45.19,65.81,28.33,7.35,8.59,5.67
36.2,37.38,54.25,24.27,7.59,8.80,5.86,44.95,65.93,28.21,7.34,8.57,5.64
36.3,35.35,57.73,19.68,7.94,9.15,6.21,44.68,66.07,28.04,7.32,8.55,5.62
36.4,34.02,63.43,14.50,8.19,9.41,6.46,44.40,66.22,27.82,7.31,8.53,5.59
36.5,34.14,69.78,9.71,8.32,9.54,6.58,44.09,66.38,27.54,7.30,8.52,5.56
36.6,36.02,74.74,6.93,8.26,9.48,6.51,43.78,66.54,27.21,7.30,8.51,5.54
36.7,39.46,77.14,8.11,8.00,9.22,6.25,43.46,66.70,26.84,7.30,8.50,5.53
36.8,44.06,76.96,14.29,7.58,8.80,5.83,43.15,66.83,26.46,7.30,8.50,5.52
36.9,49.04,75.41,24.54,7.09,8.32,5.33,42.85,66.92,26.08,7.31,8.51,5.52
37.0,53.26,73.67,35.88,6.63,7.86,4.87,42.58,66.97,25.74,7.32,8.52,5.53
37.1,55.74,72.20,44.87,6.30,7.53,4.53,42.35,66.96,25.48,7.34,8.54,5.53
37.2,56.06,71.19,49.26,6.15,7.39,4.38,42.16,66.90,25.32,7.36,8.56,5.55
37.3,54.44,70.57,48.78,6.23,7.47,4.45,42.04,66.77,25.29,7.38,8.58,5.56
37.4,51.53,70.15,44.68,6.44,7.69,4.66,41.98,66.59,25.40,7.40,8.60,5.57
37.5,48.05,69.73,38.66,6.64,7.89,4.85,41.97,66.35,25.65,7.42,8.63,5.59
37.6,44.51,69.22,32.19,6.80,8.06,5.01,42.02,66.04,26.05,7.45,8.65,5.61
37.7,41.24,68.56,26.21,6.94,8.20,5.14,42.11,65.66,26.57,7.48,8.68,5.63
37.8,38.43,67.78,21.15,7.08,8.34,5.28,42.22,65.21,27.18,7.51,8.71,5.65
37.9,36.14,66.90,17.13,7.28,8.54,5.47,42.33,64.66,27.86,7.55,8.76,5.69
38.0,34.39,65.93,14.19,7.55,8.81,5.74,42.44,64.01,28.57,7.59,8.80,5.73
38.1,33.18,64.89,12.33,7.82,9.09,6.01,42.52,63.27,29.29,7.63,8.86,5.78
38.2,32.55,63.77,11.62,8.07,9.34,6.25,42.57,62.44,29.97,7.68,8.92,5.83
38.3,32.54,62.54,12.18,8.22,9.50,6.40,42.59,61.53,30.60,7.74,9.00,5.90
38.4,33.21,61.13,14.09,8.26,9.54,6.43,42.58,60.57,31.16,7.80,9.08,5.97
38.5,34.58,59.51,17.39,8.23,9.52,6.40,42.55,59.58,31.65,7.87,9.16,6.05
38.6,36.59,57.88,21.99,8.18,9.47,6.34,42.51,58.59,32.10,7.95,9.25,6.13
38.7,39.09,56.45,27.29,8.12,9.41,6.28,42.48,57.62,32.52,8.02,9.34,6.21
38.8,41.81,55.22,32.40,8.05,9.34,6.20,42.48,56.68,32.97,8.10,9.43,6.28
38.9,44.39,54.22,36.54,8.00,9.30,6.15,42.53,55.80,33.49,8.17,9.51,6.36
39.0,46.52,53.24,39.25,8.03,9.33,6.17,42.64,54.97,34.11,8.24,9.58,6.42
39.1,48.02,53.36,48.02,8.19,9.49,6.32,42.83,54.22,34.85,8.30,9.65,6.48
39.2,48.84,54.20,48.84,8.50,9.80,6.63,43.08,53.54,35.73,8.36,9.71,6.53
39.3,48.98,53.99,48.98,8.82,10.13,6.94,43.41,52.93,36.72,8.41,9.76,6.58
39.4,48.45,52.77,48.45,8.97,10.28,7.10,43.78,52.38,37.79,8.46,9.80,6.61
39.5,47.35,50.65,47.35,8.93,10.25,7.05,44.18,51.90,38.90,8.50,9.84,6.64
39.6,45.86,47.95,45.86,8.79,10.11,6.90,44.58,51.44,39.98,8.53,9.88,6.67
39.7,44.32,45.14,44.32,8.66,9.99,6.77,44.94,51.01,40.97,8.57,9.91,6.69
39.8,43.04,43.04,42.71,8.62,9.94,6.72,45.26,50.58,41.82,8.60,9.94,6.72
