Species,T,d18Osw_VSMOW,d18Oc,Ref,Type
Globorotalia inflata [fine],17.45,0.22,-0.49,Lončarić et al. (2006),planktic
Globorotalia inflata [coarse],17.45,0.22,-0.11,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],17.45,0.22,-0.34,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [coarse],17.45,0.22,-0.31,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [fine],17.45,0.22,-0.34,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [coarse],17.45,0.22,-0.10,Lončarić et al. (2006),planktic
Globorotalia inflata [fine],15.53,0.12,-0.19,Lončarić et al. (2006),planktic
Globorotalia inflata [coarse],15.53,0.12,0.06,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],15.53,0.12,-0.50,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [coarse],15.53,0.12,0,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [fine],15.53,0.12,-0.47,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [coarse],15.53,0.12,-0.05,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],13.34,-0.04,0.2,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [coarse],13.34,-0.04,0.14,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [fine],13.34,-0.04,-0.26,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [coarse],13.34,-0.04,-0.15,Lončarić et al. (2006),planktic
Globigerinoides trilobus [fine],22.73,0.4,-1.33,Lončarić et al. (2006),planktic
Globigerinoides trilobus [fine],22.7,0.4,-1.09,Lončarić et al. (2006),planktic
Globigerinoides trilobus [fine],18.4,0.25,-1.10,Lončarić et al. (2006),planktic
Globigerinoides ruber [fine],18.4,0.25,-1.08,Lončarić et al. (2006),planktic
Globorotalia inflata [fine],18.4,0.25,-0.01,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],18.4,0.25,-0.31,Lončarić et al. (2006),planktic
Globigerinoides ruber [fine],17.53,0.24,-0.51,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],17.53,0.24,0.03,Lončarić et al. (2006),planktic
Globigerinoides trilobus [fine],16.45,0.19,-1.22,Lončarić et al. (2006),planktic
Globorotalia inflata [fine],16.45,0.19,-0.36,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],16.45,0.19,-0.08,Lončarić et al. (2006),planktic
