Species,T,d18Osw_VSMOW,d18Oc,Ref,Type
Rosalina vilardeboana,7.0,-3.39,-1.74,McCorkle et al. (2008),benthic
Bulimina marginata,7.9,0.33,2.02,Barras et al. (2010),benthic
Bulimina marginata,7.9,0.33,1.95,Barras et al. (2010),benthic
Bulimina marginata,7.9,0.33,2.09,Barras et al. (2010),benthic
Bulimina marginata,7.9,0.33,2.12,Barras et al. (2010),benthic
Bulimina marginata,10.2,0.33,1.47,Barras et al. (2010),benthic
Bulimina marginata,10.2,0.33,1.50,Barras et al. (2010),benthic
Bulimina marginata,10.2,0.33,1.60,Barras et al. (2010),benthic
Bulimina marginata,10.2,0.33,1.69,Barras et al. (2010),benthic
Bulimina marginata,10.2,0.33,1.53,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,0.97,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,0.95,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,1.00,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,1.05,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.46,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.42,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.60,Barras et al. (2010),benthic
Bulimina marginata,13.0,0.33,0.89,Barras et al. (2010),benthic
Bulimina marginata,13.0,0.33,1.08,Barras et al. (2010),benthic
Bulimina marginata,13.0,0.33,0.77,Barras et al. (2010),benthic
Bulimina marginata,13.0,0.33,0.93,Barras et al. (2010),benthic
Bulimina marginata,13.0,0.33,1.00,Barras et al. (2010),benthic
Bulimina marginata,13.0,0.33,1.07,Barras et al. (2010),benthic
Bulimina marginata,13.0,0.33,1.01,Barras et al. (2010),benthic
Bulimina marginata,13.0,0.33,1.07,Barras et al. (2010),benthic
Bulimina marginata,7.9,0.33,2.08,Barras et al. (2010),benthic
Bulimina marginata,7.9,0.33,1.91,Barras et al. (2010),benthic
Bulimina marginata,7.9,0.33,2.17,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.31,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.45,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.39,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.46,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.52,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.56,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.44,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.44,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.54,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.60,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.57,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.63,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.61,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.66,Barras et al. (2010),benthic
Bulimina marginata,10.1,0.33,1.56,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,0.79,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,0.82,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,0.84,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,0.98,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,1.01,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,1.12,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,1.13,Barras et al. (2010),benthic
Bulimina marginata,12.7,0.33,1.17,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.49,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.61,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.62,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.63,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.60,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.79,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.47,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.73,Barras et al. (2010),benthic
Bulimina marginata,14.7,0.33,0.75,Barras et al. (2010),benthic
Bulimina marginata,4.1,0.33,2.77,Barras et al. (2010),benthic
Bulimina marginata,6.0,0.33,2.31,Barras et al. (2010),benthic
Bulimina marginata,6.0,0.33,2.07,Barras et al. (2010),benthic
Bulimina marginata,6.0,0.33,2.21,Barras et al. (2010),benthic
Bulimina marginata,9.3,0.33,1.85,Barras et al. (2010),benthic
Bulimina marginata,9.3,0.33,1.66,Barras et al. (2010),benthic
Bulimina marginata,9.3,0.33,1.78,Barras et al. (2010),benthic
Bulimina marginata,9.3,0.33,1.65,Barras et al. (2010),benthic
Bulimina marginata,9.3,0.33,1.57,Barras et al. (2010),benthic
Bulimina marginata,9.3,0.33,1.71,Barras et al. (2010),benthic
Bulimina marginata,9.3,0.33,1.72,Barras et al. (2010),benthic
Bulimina marginata,9.3,0.33,1.78,Barras et al. (2010),benthic
Bulimina marginata,9.3,0.33,1.73,Barras et al. (2010),benthic
Bulimina marginata,11.6,0.33,1.21,Barras et al. (2010),benthic
Bulimina marginata,11.6,0.33,1.06,Barras et al. (2010),benthic
Bulimina marginata,11.6,0.33,1.06,Barras et al. (2010),benthic
Bulimina marginata,11.6,0.33,1.13,Barras et al. (2010),benthic
Bulimina marginata,11.6,0.33,1.05,Barras et al. (2010),benthic
Bulimina marginata,11.6,0.33,1.06,Barras et al. (2010),benthic
Bulimina marginata,11.6,0.33,1.07,Barras et al. (2010),benthic
Bulimina marginata,11.6,0.33,1.27,Barras et al. (2010),benthic
Bulimina marginata,11.6,0.33,1.08,Barras et al. (2010),benthic
Bulimina marginata,17.2,0.33,-0.07,Barras et al. (2010),benthic
Bulimina marginata,19.3,0.33,-0.44,Barras et al. (2010),benthic
Globigerina bulloides,16,-0.19,-0.61,Spero & Lea (1996),planktic
Globigerina bulloides,16,-0.19,-0.83,Spero & Lea (1996),planktic
Globigerina bulloides,16,-0.19,-0.50,Spero & Lea (1996),planktic
Globigerina bulloides,16,-0.19,-0.63,Spero & Lea (1996),planktic
Globigerina bulloides,16,-0.19,-0.57,Spero & Lea (1996),planktic
Globigerina bulloides,16,-0.19,-0.68,Spero & Lea (1996),planktic
Globigerina bulloides,16,-0.19,-0.68,Spero & Lea (1996),planktic
Globigerina bulloides,16,-0.19,-0.51,Spero & Lea (1996),planktic
Globigerina bulloides,16,-0.19,-0.53,Spero & Lea (1996),planktic
Orbulina universa,29,1.13,-1.65,Spero & Lea (1993),planktic
Orbulina universa,29,1.13,-1.73,Spero & Lea (1993),planktic
Orbulina universa,29,1.13,-1.63,Spero & Lea (1993),planktic
Orbulina universa,29,1.13,-1.42,Spero & Lea (1993),planktic
Orbulina universa,29,1.13,-1.38,Spero & Lea (1993),planktic
Orbulina universa,29,1.13,-1.45,Spero & Lea (1993),planktic
Orbulina universa,25,0.0,-2.08,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,25,0.0,-1.8,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,24,0.0,-1.90,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,24,0.0,-1.62,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,22,0.0,-1.50,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,22,0.0,-1.05,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,19,0.0,-0.82,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,19,0.0,-0.52,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,18,0.0,-0.59,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,18,0.0,-0.32,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,17,0.0,-0.47,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,17,0.0,-0.15,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,15,0.0,-0.25,Bemis et al. (1998) fig 1a,planktic
Orbulina universa,15,0.0,0.25,Bemis et al. (1998) fig 1a,planktic
Globigerina bulloides,15,0.0,-0.48,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,15,0.0,-0.39,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,15,0.0,-0.29,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,16,0.0,-0.68,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,17,0.0,-0.9,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,17,0.0,-0.83,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,17,0.0,-0.80,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,19,0.0,-1.25,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,19,0.0,-1.17,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,19,0.0,-1.10,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,22,0.0,-1.92,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,22,0.0,-1.78,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,22,0.0,-1.72,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,22,0.0,-1.66,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,24,0.0,-2.30,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,24,0.0,-2.28,Bemis et al. (1998) fig 1c,planktic
Globigerina bulloides,24,0.0,-2.25,Bemis et al. (1998) fig 1c,planktic
