Species,T,d18Osw_VSMOW,d18Oc
Globigerinoides ruber white,28.4 ,0.51 ,-2.84 
Globigerinoides ruber white,28.8 ,0.54 ,-2.91 
Globigerinoides ruber white,28.8 ,0.54 ,-2.72 
Globigerinoides ruber white,29.0 ,0.66 ,-3.37 
Globigerinoides ruber white,29.0 ,0.66 ,-2.78 
Globigerinoides ruber white,29.0 ,0.66 ,-2.94 
Globigerinoides ruber white,29.0 ,0.66 ,-3.12 
Globigerinoides ruber white,29.0 ,0.77 ,-3.15 
Globigerinoides ruber white,29.0 ,0.77 ,-2.82 
Globigerinoides ruber white,27.7 ,0.26 ,-3.20 
Globigerinoides ruber white,27.6 ,0.10 ,-3.05 
Globigerinoides ruber white,27.6 ,0.10 ,-3.12 
Globigerinoides ruber white,28.9 ,0.35 ,-3.08 
Globigerinoides ruber white,28.9 ,0.35 ,-3.02 
Globigerinoides ruber white,28.9 ,0.35 ,-2.96 
Globigerinoides ruber white,29.4 ,0.43 ,-3.30 
Globigerinoides ruber white,30.1 ,0.43 ,-2.94 
Globigerinoides ruber white,30.3 ,0.45 ,-3.42 
Globigerinoides ruber white,30.6 ,0.57 ,-3.14 
Globigerinoides ruber white,31.1 ,0.70 ,-3.53 
Globigerinoides ruber white,29.8 ,0.77 ,-3.36 
Globigerinoides ruber white,29.8 ,0.77 ,-3.29 
Globigerinoides ruber white,26.5 ,0.62 ,-2.77 
Globigerinoides ruber white,26.5 ,0.62 ,-2.79 
Globigerinoides ruber white,28.8 ,0.62 ,-2.71 
Globigerinoides ruber white,28.8 ,0.62 ,-3.20 
Globigerinoides ruber white,25.5 ,0.37 ,-2.18 
Globigerinoides ruber white,25.5 ,0.37 ,-1.91 
Globigerinoides ruber white,25.8 ,0.43 ,-2.30 
Globigerinoides ruber white,25.5 ,0.41 ,-2.36 
Globigerinoides ruber white,16.1 ,0.83 ,-0.04 
Globigerinoides ruber white,16.2 ,0.83 ,-0.27 
Globigerinoides ruber white,16.2 ,0.83 ,-0.15 
Globigerinoides ruber white,21.0 ,0.81 ,-1.05 
Globigerinoides ruber white,22.0 ,0.87 ,-1.31 
Globigerinoides ruber white,19.0 ,0.85 ,-0.87 
Globigerinoides ruber white,19.0 ,0.85 ,-0.60 
Globigerinoides ruber white,20.0 ,0.85 ,-0.81 
Globigerinoides ruber white,18.3 ,0.87 ,-0.59 
Globigerinoides ruber white,19.1 ,0.88 ,-0.16 
Globigerinoides ruber white,19.7 ,0.89 ,-0.57 
Globigerinoides ruber white,18.4 ,0.89 ,-0.26 
Globigerinoides ruber white,18.1 ,0.88 ,-0.13 
Globigerinoides ruber white,18.0 ,0.87 ,-0.19 
Globigerinoides ruber white,16.6 ,0.85 ,0.34 
Globigerina bulloides,6.7,0.13,1.18
Globigerina bulloides,3.9,-0.17,1.79
Globigerina bulloides,1.7,-0.17,1.71
Globigerina bulloides,11.8,0.13,0.57
Globigerina bulloides,7.7,-0.16,0.73
Globigerina bulloides,10,-0.03,0.72
Globigerina bulloides,8.7,0.13,1.02
Globigerina bulloides,7.3,-0.17,1.48
Globigerina bulloides,16.8,0.41,-0.17
Globigerina bulloides,6.9,-0.09,1.59
Globigerina bulloides,13.1,0.13,0.4
Globigerina bulloides,16.5,0.41,0
Globigerina bulloides,19,0.29,-1.02
Globigerina bulloides,20.35,0.29,-1.29
Globigerina bulloides,20.35,0.29,-0.98
Globigerina bulloides,25.5,0.37,-2.39
Globigerina bulloides,25.5,0.37,-2.22
Globigerina bulloides,8.42,-0.76,0.26
Globigerina bulloides,8.42,-0.76,-0.03
Globigerina bulloides,8.42,-0.76,0.62
Globigerina bulloides,8.42,-0.76,0.46
