Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
G3,Globorotalia inflata,CD94 17B,48.92,-11.83,(0-1500),11.04,1.10,
G4,Orbulina universa,CD94 17B,48.92,-11.83,(0-1500),11.04,1.10,
I1,Globigerina bulloides,CD107 A ML 5A,52.93,-16.92,(0-1500),8.52,2.46,
I2,Globorotalia truncatulinoides,CD107 A ML 5A,52.93,-16.92,(0-1500),8.52,2.46,
I4,Orbulina universa,CD107 A ML 5A,52.93,-16.92,(0-1500),8.52,2.46,
I5,Globorotalia hirsuta,CD107 A ML 5A,52.93,-16.92,(0-1500),8.52,2.46,
J1,Trilobatus trilobus,OJP2016 MW0691 1.5BC11,-1.02,157.83,(0-1500),10.60,8.03,
K1,Neogloboquadrina pachyderma,GS15-198-62MC,70.02,-13.56,(0-1500),0.17,0.84,
L1,Globigerinoides ruber white,KL88,34.78,-27.66,(0-1500),11.05,3.79,
L2,Globigerina bulloides,KL88,34.78,-27.66,(0-1500),11.05,3.79,
L4,Globorotalia truncatulinoides,KL88,34.78,-27.66,(0-1500),11.05,3.79,
L5,Globorotalia inflata,KL88,34.78,-27.66,(0-1500),11.05,3.79,
M1,Globigerina bulloides,GS06-144-19MC,63.76,5.19,(0-1500),6.06,3.22,
M2,Globorotalia inflata,GS06-144-19MC,63.76,5.19,(0-1500),6.06,3.22,
N1,Neogloboquadrina pachyderma,GS15-198-38MC,70.13,-17.66,(0-1500),0.16,0.55,
O1,Neogloboquadrina pachyderma,GS15-198-63MC,70.53,-2.76,(0-1500),1.94,2.28,
