Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
MD12-3426_orbulina,Orbulina universa,MD12-3426,19.73,114.61,(10-130),20.55,3.68,
MD02-2577_menardi,Globorotalia menardii,MD02-2577,28.84,-86.67,(0-120),19.58,2.90,
MD02-2577_orbulina,Orbulina universa,MD02-2577,28.84,-86.67,(10-130),19.58,2.90,
MD02-2577_ruber,Globigerinoides ruber white,MD02-2577,28.84,-86.67,(0-120),21.09,1.92,
MD00-2360_menardi,Globorotalia menardii,MD00-2360,-20.08,112.67,(0-120),22.27,2.36,
MD00-2360_orbulina,Orbulina universa,MD00-2360,-20.08,112.67,(10-130),22.27,2.36,
MD00-2360_ruber,Globigerinoides ruber white,MD00-2360,-20.08,112.67,(0-120),23.74,1.47,
A1,Globigerinoides ruber white,SO225-53-1,-13.52,-162.14,(0-120),27.90,0.82,discordant
A2,Trilobatus trilobus,SO225-53-1,-13.52,-162.14,(0-200),26.39,2.07,
A3,Trilobatus sacculifer,SO225-53-1,-13.52,-162.14,(0-200),26.39,2.07,
A4,Pulleniatina obliquiloculata,SO225-53-1,-13.52,-162.14,(0-100),28.61,0.56,discordant
A5,Orbulina universa,SO225-53-1,-13.52,-162.14,(10-130),26.33,2.06,
A6,Globigerinoides conglobatus,SO225-53-1,-13.52,-162.14,(0-50),25.47,1.75,
A7,Globorotalia tumida,SO225-53-1,-13.52,-162.14,(0-110),21.54,2.82,
B1a,Globigerinoides ruber white,SO164-25-3,14.69,-59.74,(0-120),26.42,1.09,
B1c,Globigerinoides ruber white,SO164-25-3,14.69,-59.74,(0-120),26.42,1.09,
B1d,Globigerinoides ruber pink,SO164-25-3,14.69,-59.74,(0-100),27.55,0.76,
B2,Trilobatus trilobus,SO164-25-3,14.69,-59.74,(0-200),24.44,2.78,
B5,Pulleniatina obliquiloculata,SO164-25-3,14.69,-59.74,(0-100),27.48,0.77,discordant
B6,Globigerinoides conglobatus,SO164-25-3,14.69,-59.74,(0-50),23.23,2.34,
D1,Globigerina bulloides,SO213-84-2,-45.12,174.58,(0-300),8.30,0.97,discordant
D2,Globorotalia truncatulinoides,SO213-84-2,-45.12,174.58,(40-250),8.33,0.81,discordant
D3,Globorotalia inflata,SO213-84-2,-45.12,174.58,(30-200),8.66,1.04,
E1,Globigerinoides ruber white,WIND 33B,-11.21,58.77,(0-120),23.07,3.12,
E2,Trilobatus trilobus,WIND 33B,-11.21,58.77,(0-200),20.92,4.63,
E3,Trilobatus sacculifer,WIND 33B,-11.21,58.77,(0-200),20.92,4.63,
E4,Neogloboquadrina dutertrei,WIND 33B,-11.21,58.77,(0-130),24.16,2.59,
E5,Pulleniatina obliquiloculata,WIND 33B,-11.21,58.77,(0-100),26.31,1.09,discordant
E7,Orbulina universa,WIND 33B,-11.21,58.77,(10-130),20.68,4.53,
E8,Globorotalia menardii,WIND 33B,-11.21,58.77,(0-120),20.68,4.53,
E9,Globorotalia tumida,WIND 33B,-11.21,58.77,(0-110),13.96,1.95,
F1,Neogloboquadrina dutertrei,CD145 A150,23.30,66.70,(0-130),23.92,1.38,
G1,Globigerina bulloides,CD94 17B,48.92,-11.83,(0-300),11.90,0.77,
G2,Globorotalia truncatulinoides,CD94 17B,48.92,-11.83,(40-250),12.00,0.67,
G3,Globorotalia inflata,CD94 17B,48.92,-11.83,(30-200),12.25,0.85,
G4,Orbulina universa,CD94 17B,48.92,-11.83,(10-130),12.33,1.01,
I1,Globigerina bulloides,CD107 A ML 5A,52.93,-16.92,(0-300),11.17,0.72,
I2,Globorotalia truncatulinoides,CD107 A ML 5A,52.93,-16.92,(40-250),11.28,0.66,
I4,Orbulina universa,CD107 A ML 5A,52.93,-16.92,(10-130),11.52,0.86,
I5,Globorotalia hirsuta,CD107 A ML 5A,52.93,-16.92,(20-400),11.02,0.74,discordant
J1,Trilobatus trilobus,OJP2016 MW0691 1.5BC11,-1.02,157.83,(0-200),25.52,4.06,
K1,Neogloboquadrina pachyderma,GS15-198-62MC,70.02,-13.56,(25-280),0.57,0.93,
L1,Globigerinoides ruber white,KL88,34.78,-27.66,(0-120),18.47,1.42,discordant
L2,Globigerina bulloides,KL88,34.78,-27.66,(0-300),16.73,1.78,discordant
L4,Globorotalia truncatulinoides,KL88,34.78,-27.66,(40-250),16.96,1.49,discordant
L5,Globorotalia inflata,KL88,34.78,-27.66,(30-200),17.49,1.55,discordant
M1,Globigerina bulloides,GS06-144-19MC,63.76,5.19,(0-300),8.29,0.64,
M2,Globorotalia inflata,GS06-144-19MC,63.76,5.19,(30-200),8.45,0.62,
N1,Neogloboquadrina pachyderma,GS15-198-38MC,70.13,-17.66,(25-280),0.55,0.56,
O1,Neogloboquadrina pachyderma,GS15-198-63MC,70.53,-2.76,(25-280),4.79,1.09,
