Sample,Species,Type,Site,Lat,Lon,Depth,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tpub,SE_Tpub,Twoa23,SE_Twoa23,Twoa23_500m,SE_Twoa23_500m,Tbottom_woa23,SE_Tbottom_woa23,Tk18,SE_Tk18,Tk18_500m,SE_Tk18_500m,Tiso_species_offset,Tiso_species,SE_Tiso_species,Tiso_species_500m,SE_Tiso_species_500m,Tiso_KON97,SE_Tiso_KON97,Tiso_Mulitza03,SE_Tiso_Mulitza03,Twoa23_vs_Tiso_species,Twoa23_500m_vs_Tiso_species_500m,Ref
0043,Globigerina bulloides,planktic,,67.75,11.18,(0-300),,,1.820,0.100,,,,,7.81,1.34,7.81,1.34,,,6.02,1.47,6.02,1.47,Globigerina bulloides,7.17,0.63,7.08,0.63,8.48,0.62,7.26,0.58,,,Waelbroeck et al (2005)
0044,Globigerina bulloides,planktic,,67.69,11.03,(0-300),,,1.820,0.100,,,,,7.78,1.29,7.78,1.29,,,6.02,1.47,6.02,1.47,Globigerina bulloides,7.17,0.63,7.08,0.63,8.48,0.62,7.26,0.58,,,Waelbroeck et al (2005)
0045,Globigerina bulloides,planktic,,47.62,-20.92,(0-300),,,1.110,0.100,,,,,12.73,1.16,12.06,1.22,,,10.93,1.73,10.93,1.73,Globigerina bulloides,10.65,0.68,10.65,0.65,11.99,0.67,10.54,0.62,,,Waelbroeck et al (2005)
0046,Globigerina bulloides,planktic,,44.00,-20.02,(0-300),,,0.700,0.100,,,,,13.45,1.34,12.79,1.34,,,11.53,1.97,11.53,1.97,Globigerina bulloides,12.71,0.66,12.71,0.66,14.08,0.65,12.48,0.60,,,Waelbroeck et al (2005)
0047,Globigerina bulloides,planktic,,45.00,-24.66,(0-300),,,0.470,0.100,,,,,13.74,1.33,12.90,1.41,,,11.76,1.66,11.76,1.66,Globigerina bulloides,13.85,0.66,13.85,0.66,15.23,0.65,13.54,0.61,,,Waelbroeck et al (2005)
0048,Globigerina bulloides,planktic,,45.35,-27.15,(0-300),,,0.860,0.100,,,,,13.76,1.32,12.87,1.49,,,12.56,1.53,12.56,1.53,Globigerina bulloides,12.26,0.69,12.22,0.65,13.63,0.68,12.05,0.63,,,Waelbroeck et al (2005)
0049,Globigerina bulloides,planktic,,46.21,-23.72,(0-300),,,0.620,0.100,,,,,13.18,1.15,12.41,1.33,,,11.46,1.62,11.46,1.62,Globigerina bulloides,13.08,0.69,13.08,0.66,14.45,0.68,12.82,0.63,,,Waelbroeck et al (2005)
0050,Globigerina bulloides,planktic,,46.29,-23.60,(0-300),,,1.300,0.100,,,,,13.14,1.09,12.39,1.29,,,11.46,1.62,11.46,1.62,Globigerina bulloides,10.02,0.67,10.02,0.64,11.37,0.67,9.95,0.62,discordant,,Waelbroeck et al (2005)
0051,Globigerina bulloides,planktic,,45.99,-23.85,(0-300),,,0.680,0.100,,,,,13.30,1.17,12.50,1.34,,,11.56,1.72,11.56,1.72,Globigerina bulloides,12.85,0.66,12.85,0.66,14.22,0.65,12.61,0.60,,,Waelbroeck et al (2005)
0052,Globigerina bulloides,planktic,,47.17,-21.39,(0-300),,,0.970,0.100,,,,,12.89,1.19,12.17,1.27,,,11.02,1.65,11.02,1.65,Globigerina bulloides,11.32,0.68,11.32,0.65,12.67,0.67,11.17,0.63,,,Waelbroeck et al (2005)
