Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
1060,Globigerinoides ruber white,,15.48,-17.36,(0-120),18.92,3.77,
1061,Globigerinoides ruber white,,15.47,-17.36,(0-120),18.87,3.72,
1062,Globigerinoides ruber white,,33.58,-13.97,(0-120),18.68,1.81,
1063,Globigerinoides ruber white,,15.83,-17.85,(0-120),19.20,4.07,
1064,Globigerinoides ruber white,,32.75,-41.90,(0-120),20.65,2.07,
1065,Globigerinoides ruber white,,15.83,-17.85,(0-120),19.20,4.07,
1066,Globigerinoides ruber white,,23.13,-17.75,(0-120),19.20,1.25,
1067,Globigerinoides ruber white,,25.17,-16.85,(0-120),19.84,1.34,
1068,Globigerinoides ruber white,,21.25,-74.35,(0-120),26.54,1.28,
1069,Globigerinoides ruber white,,31.37,-35.98,(0-120),21.11,1.98,discordant
1070,Globigerinoides ruber white,,12.54,-17.56,(0-120),20.22,4.13,
1071,Globigerinoides ruber white,,29.02,-41.40,(0-120),22.13,1.63,
1072,Globigerinoides ruber white,,27.92,-43.63,(0-120),22.83,1.81,
1073,Globigerinoides ruber white,,12.54,-17.58,(0-120),20.32,4.17,
1074,Globigerinoides ruber white,,21.23,-74.35,(0-120),26.57,1.29,
1075,Globigerinoides ruber white,,12.54,-17.59,(0-120),20.30,4.17,
1076,Globigerinoides ruber white,,26.00,-48.27,(0-120),23.84,1.73,
1077,Globigerinoides ruber white,,21.32,-74.15,(0-120),26.54,1.35,
1078,Globigerinoides ruber white,,24.20,-47.47,(0-120),24.13,1.32,
1079,Globigerinoides ruber white,,12.54,-17.60,(0-120),20.36,4.18,
1080,Globigerinoides ruber white,,23.33,-46.48,(0-120),24.43,1.47,
1081,Globigerinoides ruber white,,17.27,-71.65,(0-120),27.26,1.04,
1082,Globigerinoides ruber white,,12.53,-17.62,(0-120),20.35,4.20,
1083,Globigerinoides ruber white,,1.78,-25.43,(0-120),23.41,4.52,
1084,Globigerinoides ruber white,,16.89,-79.13,(0-120),27.85,0.89,
1085,Globigerinoides ruber white,,1.37,-33.48,(0-120),24.68,3.87,
1086,Globigerinoides ruber white,,-34.75,17.36,(0-120),16.69,1.94,
1087,Globigerinoides ruber white,,21.00,-17.62,(0-120),18.69,1.30,discordant
1088,Globigerinoides ruber white,,-34.75,17.36,(0-120),16.69,1.94,
1089,Globigerinoides ruber white,,18.32,-63.45,(0-120),26.78,1.22,
1090,Globigerinoides ruber white,,20.99,-17.66,(0-120),17.53,1.54,discordant
1091,Globigerinoides ruber white,,18.30,-63.63,(0-120),26.85,1.26,
1092,Globigerinoides ruber white,,-1.34,-11.90,(0-120),20.57,4.45,
1093,Globigerinoides ruber white,,20.99,-17.68,(0-120),17.57,1.54,
1094,Globigerinoides ruber white,,-1.47,-32.72,(0-120),24.61,3.87,
1095,Globigerinoides ruber white,,18.93,-64.09,(0-120),26.63,1.34,
1096,Globigerinoides ruber white,,-1.55,-34.65,(0-120),25.00,3.73,
1097,Globigerinoides ruber white,,20.99,-17.70,(0-120),17.57,1.51,
1098,Globigerinoides ruber white,,18.03,-64.16,(0-120),26.84,1.30,
1099,Globigerinoides ruber white,,21.00,-17.73,(0-120),17.47,1.51,
1100,Globigerinoides ruber white,,16.42,-62.45,(0-120),26.88,1.32,
1101,Globigerinoides ruber white,,20.98,-17.88,(0-120),17.70,1.63,discordant
1102,Globigerinoides ruber white,,-20.12,8.97,(0-120),17.79,2.31,
1103,Globigerinoides ruber white,,15.45,-62.23,(0-120),26.86,1.36,
1104,Globigerinoides ruber white,,-20.12,8.97,(0-120),17.79,2.31,
1105,Globigerinoides ruber white,,20.99,-18.03,(0-120),17.89,1.66,
1106,Globigerinoides ruber white,,-20.12,8.97,(0-120),17.79,2.31,
1107,Globigerinoides ruber white,,14.41,-61.66,(0-120),26.66,1.47,
1108,Globigerinoides ruber white,,-20.12,8.97,(0-120),17.79,2.31,
1109,Globigerinoides ruber white,,-20.12,8.97,(0-120),17.79,2.31,
1110,Globigerinoides ruber white,,12.09,-61.24,(0-120),25.40,2.47,
1111,Globigerinoides ruber white,,12.03,-61.18,(0-120),25.27,2.45,
1113,Globigerinoides ruber white,,17.84,-63.74,(0-120),26.83,1.24,
1114,Globigerinoides ruber white,,17.99,-63.45,(0-120),26.80,1.18,
1115,Globigerinoides ruber white,,18.12,-18.08,(0-120),18.42,3.58,
1116,Globigerinoides ruber white,,-34.75,17.36,(0-120),16.69,1.94,
1117,Globigerinoides ruber white,,14.14,-17.65,(0-120),19.05,4.01,
1118,Globigerinoides ruber white,,0.90,-31.80,(0-120),24.12,3.93,
1120,Globigerinoides ruber white,,0.85,-32.85,(0-120),24.36,3.78,
1121,Globigerinoides ruber white,,14.15,-17.87,(0-120),19.18,4.08,
1122,Globigerinoides ruber white,,0.55,-13.65,(0-120),21.42,4.47,
1123,Globigerinoides ruber white,,16.59,-78.61,(0-120),27.82,0.79,
1124,Globigerinoides ruber white,,0.55,-13.68,(0-120),21.42,4.43,
1125,Globigerinoides ruber white,,18.77,-16.89,(0-120),17.92,3.38,
1126,Globigerinoides ruber white,,0.22,-23.07,(0-120),22.74,3.99,
1128,Globigerinoides ruber white,,18.75,-16.83,(0-120),17.68,3.17,
1129,Globigerinoides ruber white,,17.51,-67.04,(0-120),27.04,1.31,
1130,Globigerinoides ruber white,,-6.27,103.01,(0-120),26.37,3.19,
1131,Globigerinoides ruber white,,18.75,-16.83,(0-120),17.68,3.17,
1132,Globigerinoides ruber white,,0.20,-42.77,(0-120),26.47,1.89,
1133,Globigerinoides ruber white,,-0.05,-25.48,(0-120),23.16,3.86,
1134,Globigerinoides ruber white,,17.60,-65.68,(0-120),26.96,1.29,
1135,Globigerinoides ruber white,,-0.20,-23.15,(0-120),22.60,3.95,
1136,Globigerinoides ruber white,,18.84,-18.77,(0-120),18.44,3.35,
1137,Globigerinoides ruber white,,-0.38,-39.13,(0-120),25.65,2.51,
1139,Globigerinoides ruber white,,-0.53,-17.27,(0-120),21.77,4.13,
1140,Globigerinoides ruber white,,18.88,-16.74,(0-120),18.81,3.32,
1141,Globigerinoides ruber white,,17.67,-65.48,(0-120),26.93,1.29,
1142,Globigerinoides ruber white,,18.08,-18.01,(0-120),18.41,3.56,
1143,Globigerinoides ruber white,,17.57,-65.37,(0-120),26.99,1.28,
1144,Globigerinoides ruber white,,18.05,-18.07,(0-120),18.46,3.55,
1145,Globigerinoides ruber white,,17.04,-66.00,(0-120),27.00,1.16,
