Sample,Ref,d18Osw,sd18Osw,T,sT
0185,Elderfield and Ganssen (2000),0.57,0.10,12.05,2.08
0186,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0187,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0188,Mohtadi et al. (2011),0.24,0.10,19.64,6.29
0189,Mohtadi et al. (2011),0.24,0.10,19.64,6.29
0190,Mohtadi et al. (2011),0.24,0.10,19.64,6.29
0191,Mohtadi et al. (2011),0.24,0.10,19.64,6.29
0192,Mohtadi et al. (2011),0.24,0.10,19.64,6.29
0193,Mohtadi et al. (2011),0.25,0.10,19.65,6.27
0194,Mohtadi et al. (2011),0.25,0.10,19.66,6.27
0195,Mohtadi et al. (2011),0.25,0.10,19.66,6.27
0196,Mohtadi et al. (2011),0.25,0.10,19.66,6.27
0197,Mohtadi et al. (2011),0.25,0.10,19.66,6.27
0198,Mohtadi et al. (2011),0.25,0.10,19.66,6.27
0199,Mohtadi et al. (2011),0.25,0.10,19.66,6.27
0200,Mohtadi et al. (2011),0.25,0.10,19.66,6.27
0201,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0202,Mohtadi et al. (2011),0.25,0.10,19.66,6.27
0203,Mohtadi et al. (2011),0.25,0.10,19.66,6.27
0204,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0205,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0206,Mohtadi et al. (2011),0.24,0.10,19.64,6.29
0207,Elderfield and Ganssen (2000),0.58,0.10,11.86,1.76
0208,Bousetta et al. (2012),1.51,0.10,14.71,2.28
0209,Bousetta et al. (2012),1.52,0.11,16.42,2.24
0210,Bousetta et al. (2012),1.51,0.10,14.71,2.28
0211,Bousetta et al. (2012),1.51,0.10,14.50,2.30
0212,Bousetta et al. (2012),1.44,0.10,13.54,2.47
0213,Waelbroeck et al (2005),0.89,0.13,15.36,2.35
0214,Mohtadi et al. (2011),0.24,0.10,19.64,6.29
0215,Mohtadi et al. (2011),0.21,0.11,19.25,6.21
0216,Waelbroeck et al (2005),0.21,0.16,9.47,1.35
0217,Thornalley et al 2011,0.36,0.13,8.81,1.10
0218,Pahnke et al 2003,-0.11,0.10,9.63,1.37
0219,Mashiotta et al 1999,0.22,0.10,11.92,1.12
0220,Vazquez Riverios et al 2016,0.18,0.13,8.46,1.24
0221,Vazquez Riverios et al 2016,0.36,0.10,8.92,1.33
0222,Vazquez Riverios et al 2016,0.21,0.14,8.92,1.19
0223,Vazquez Riverios et al 2016,0.35,0.11,9.79,1.25
0224,Vazquez Riverios et al 2016,0.17,0.14,7.31,1.76
0225,Vazquez Riverios et al 2016,0.59,0.14,13.32,2.20
0226,Vazquez Riverios et al 2016,0.77,0.12,14.15,1.85
0227,Vazquez Riverios et al 2016,0.76,0.10,14.81,1.74
0228,Vazquez Riverios et al 2016,0.39,0.10,14.01,1.50
0229,Vazquez Riverios et al 2016,0.40,0.10,14.07,1.25
0230,Vazquez Riverios et al 2016,0.08,0.12,10.44,2.78
0231,Vazquez Riverios et al 2016,-0.19,0.10,6.66,2.19
0232,Vazquez Riverios et al 2016,0.22,0.10,11.92,1.12
0233,Waelbroeck et al (2005),0.38,0.12,10.83,1.35
0234,Vazquez Riverios et al 2016,-0.20,0.10,5.67,2.06
0235,Waelbroeck et al (2005),0.56,0.11,11.86,1.53
0236,Waelbroeck et al (2005),0.61,0.10,12.51,1.98
0237,Waelbroeck et al (2005),0.61,0.10,12.51,1.98
0238,Waelbroeck et al (2005),0.58,0.10,11.86,1.76
0239,Waelbroeck et al (2005),0.58,0.10,11.97,1.61
0240,Waelbroeck et al (2005),0.51,0.11,11.68,1.41
0241,Waelbroeck et al (2005),0.40,0.12,10.92,1.33
0242,Waelbroeck et al (2005),0.36,0.12,10.56,1.30
0243,Waelbroeck et al (2005),0.21,0.16,9.47,1.35
0244,Waelbroeck et al (2005),0.20,0.15,8.94,1.26
0245,Waelbroeck et al (2005),0.21,0.14,8.92,1.19
0246,Waelbroeck et al (2005),0.22,0.13,8.95,1.19
0247,Waelbroeck et al (2005),0.20,0.13,8.45,1.26
0248,Waelbroeck et al (2005),0.93,0.11,18.45,2.29
0249,Waelbroeck et al (2005),0.92,0.10,18.32,2.25
0250,Waelbroeck et al (2005),0.89,0.10,17.89,2.29
0251,Waelbroeck et al (2005),0.84,0.10,16.79,2.23
0252,Waelbroeck et al (2005),0.78,0.10,15.59,2.22
0253,Waelbroeck et al (2005),0.67,0.10,13.63,2.17
0254,Waelbroeck et al (2005),0.59,0.10,12.00,1.88
0255,Mohtadi et al. (2011),0.21,0.11,19.30,6.27
0256,Vazquez Riverios et al 2016,-0.12,0.12,7.28,1.56
0257,Vazquez Riverios et al 2016,0.12,0.10,10.24,1.08
0258,Mohtadi et al. (2011),0.15,0.11,20.02,6.16
0259,Mohtadi et al. (2011),0.15,0.11,20.02,6.16
