Sample,Ref,d18Osw,sd18Osw,T,sT
0164,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0165,Waelbroeck et al (2005),0.64,0.10,13.00,2.65
0166,Waelbroeck et al (2005),0.64,0.10,13.00,2.65
0167,Waelbroeck et al (2005),0.62,0.10,12.43,2.24
0168,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0169,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0170,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0171,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0172,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0173,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0174,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0175,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0176,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0177,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0178,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0179,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0180,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0181,Mohtadi et al. (2011),0.26,0.10,16.30,6.12
0182,Mohtadi et al. (2011),0.26,0.10,16.30,6.12
0183,Mohtadi et al. (2011),0.26,0.10,16.30,6.12
0184,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0185,Elderfield and Ganssen (2000),0.56,0.10,11.37,1.92
0186,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0187,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0188,Mohtadi et al. (2011),0.23,0.10,16.28,6.43
0189,Mohtadi et al. (2011),0.23,0.10,16.28,6.43
0190,Mohtadi et al. (2011),0.23,0.10,16.28,6.43
0191,Mohtadi et al. (2011),0.23,0.10,16.28,6.43
0192,Mohtadi et al. (2011),0.23,0.10,16.28,6.43
0193,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
0194,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
0195,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
0196,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
0197,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
0198,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
0199,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
0200,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
0201,Mohtadi et al. (2011),0.25,0.10,16.93,6.36
0202,Mohtadi et al. (2011),0.24,0.10,16.29,6.42
